Chopin/Etudes_op_25/12/BorickC04M.wav
F-measure	0.39999999999999997	0.4918032786885245
Cemgil	0.35548592488284647	0.47004846948209605
Cemgil Best Metric Level	0.4155677651535025	0.5837955421681382
Goto	0.0	0.0
P-score	0.353125	0.45
Correct Metric Level Continuous	0.009375	0.0
Correct Metric Level Total	0.01875	0.0
Any Metric Level Continuous	0.08571428571428572	0.40476190476190477
Any Metric Level Total	0.42857142857142855	0.7142857142857143
Information gain	0.08542861803286166	0.3872982233132353
