Chopin/Etudes_op_25/12/HouKimberly03M.wav
F-measure	0.4722792607802875	0.4132231404958678
Cemgil	0.43280528017141473	0.3968896172349585
Cemgil Best Metric Level	0.5846365193015274	0.3968896172349585
Goto	0.0	0.0
P-score	0.3761755485893417	0.35
Correct Metric Level Continuous	0.003134796238244514	0.0
Correct Metric Level Total	0.009404388714733543	0.0
Any Metric Level Continuous	0.15476190476190477	0.3170731707317073
Any Metric Level Total	0.5833333333333334	0.4878048780487805
Information gain	0.1490458334747301	0.33801557794812914
