Schubert/Impromptu_op.90_D.899/3/Ko08M.wav
F-measure	0.42718446601941745	0.25842696629213485
Cemgil	0.3751559802168244	0.23453547028069985
Cemgil Best Metric Level	0.3751559802168244	0.23453547028069985
Goto	0.0	0.0
P-score	0.5911458333333334	0.425531914893617
Correct Metric Level Continuous	0.033854166666666664	0.07446808510638298
Correct Metric Level Total	0.4296875	0.3191489361702128
Any Metric Level Continuous	0.033854166666666664	0.13829787234042554
Any Metric Level Total	0.4296875	0.3191489361702128
Information gain	0.1316157578466686	0.18058895470404304
