Liszt/Gran_Etudes_de_Paganini/6_Theme_and_Variations_repeat/KanM09M.wav
F-measure	0.6310583580613255	0.31677018633540377
Cemgil	0.5760159573645115	0.2876732071520173
Cemgil Best Metric Level	0.5760159573645115	0.2876732071520173
Goto	0.0	0.0
P-score	0.5926573426573427	0.2706422018348624
Correct Metric Level Continuous	0.05244755244755245	0.027522935779816515
Correct Metric Level Total	0.38986013986013984	0.04128440366972477
Any Metric Level Continuous	0.05244755244755245	0.07339449541284404
Any Metric Level Total	0.38986013986013984	0.2018348623853211
Information gain	0.19195237951826144	0.1676473411495576
