Beethoven/Piano_Sonatas/28-1/KimHJ02M.wav
F-measure	0.37623762376237624	0.21301775147928995
Cemgil	0.3514614271897618	0.17733073785808318
Cemgil Best Metric Level	0.3514614271897618	0.17733073785808318
Goto	0.0	0.0
P-score	0.380327868852459	0.37
Correct Metric Level Continuous	0.04918032786885246	0.04
Correct Metric Level Total	0.06229508196721312	0.07
Any Metric Level Continuous	0.04918032786885246	0.10144927536231885
Any Metric Level Total	0.06516290726817042	0.2028985507246377
Information gain	0.1957358145910359	0.14698273601384457
