Chopin/Ballades/4/Mizumoto02M.wav
F-measure	0.318216756341276	0.1678321678321678
Cemgil	0.28198451117790757	0.1458672800306954
Cemgil Best Metric Level	0.28198451117790757	0.1458672800306954
Goto	0.0	0.0
P-score	0.3982947624847747	0.35
Correct Metric Level Continuous	0.008526187576126675	0.016666666666666666
Correct Metric Level Total	0.08647990255785627	0.10416666666666667
Any Metric Level Continuous	0.01251303441084463	0.021164021164021163
Any Metric Level Total	0.08647990255785627	0.10416666666666667
Information gain	0.07689102653690558	0.07404280705635408
