Chopin/Ballades/4/LuEric04M.wav
F-measure	0.3093093093093093	0.23394495412844038
Cemgil	0.2664087552014737	0.20075855261249054
Cemgil Best Metric Level	0.2664087552014737	0.20075855261249054
Goto	0.0	0.0
P-score	0.3755868544600939	0.36666666666666664
Correct Metric Level Continuous	0.012910798122065728	0.0125
Correct Metric Level Total	0.05046948356807512	0.08333333333333333
Any Metric Level Continuous	0.012910798122065728	0.04081632653061224
Any Metric Level Total	0.08654848800834203	0.11734693877551021
Information gain	0.07297211733020435	0.10759279948623965
