Beethoven/Piano_Sonatas/31-1/Ahfat02M.wav
F-measure	0.462406015037594	0.23448275862068965
Cemgil	0.4329114363763349	0.20254424477599
Cemgil Best Metric Level	0.6102688268263459	0.20254424477599
Goto	0.0	0.0
P-score	0.4085872576177285	0.3707865168539326
Correct Metric Level Continuous	0.0	0.0056179775280898875
Correct Metric Level Total	0.0	0.011235955056179775
Any Metric Level Continuous	0.062326869806094184	0.013452914798206279
Any Metric Level Total	0.628808864265928	0.07174887892376682
Information gain	0.21925343363145963	0.16192776378827065
