Beethoven/Piano_Sonatas/31-1/Zuber04M.wav
F-measure	0.41245136186770426	0.20661157024793392
Cemgil	0.3560558935341209	0.1698159796987229
Cemgil Best Metric Level	0.4580249740105024	0.1698159796987229
Goto	0.0	0.0
P-score	0.380466472303207	0.34615384615384615
Correct Metric Level Continuous	0.027696793002915453	0.03076923076923077
Correct Metric Level Total	0.029154518950437316	0.1076923076923077
Any Metric Level Continuous	0.06705539358600583	0.03076923076923077
Any Metric Level Total	0.446064139941691	0.12307692307692308
Information gain	0.12563351304499612	0.1501383933741265
