Liszt/Gran_Etudes_de_Paganini/2_La_campanella/Levitsky06M.wav
F-measure	0.3107476635514019	0.21145374449339208
Cemgil	0.2842563151757487	0.19517567107143555
Cemgil Best Metric Level	0.2842563151757487	0.2568383818145179
Goto	0.0	0.0
P-score	0.34956521739130436	0.2765957446808511
Correct Metric Level Continuous	0.0034782608695652175	0.0070921985815602835
Correct Metric Level Total	0.008695652173913044	0.014184397163120567
Any Metric Level Continuous	0.006956521739130435	0.12790697674418605
Any Metric Level Total	0.04	0.26744186046511625
Information gain	0.12135281248111585	0.1299000450181029
