Liszt/Gran_Etudes_de_Paganini/2_La_campanella/ZhangH07M.wav
F-measure	0.30335570469798656	0.16666666666666666
Cemgil	0.2784924936653868	0.14455945066556763
Cemgil Best Metric Level	0.2784924936653868	0.14455945066556763
Goto	0.0	0.0
P-score	0.33978494623655914	0.2785714285714286
Correct Metric Level Continuous	0.004301075268817204	0.05714285714285714
Correct Metric Level Total	0.010752688172043012	0.08571428571428572
Any Metric Level Continuous	0.008944543828264758	0.06
Any Metric Level Total	0.0518783542039356	0.08571428571428572
Information gain	0.1357914847760123	0.13695707223456852
