Liszt/Ballade_2/Min06M.wav
F-measure	0.3995983935742972	0.202729044834308
Cemgil	0.36254405327214956	0.17446308050862633
Cemgil Best Metric Level	0.36254405327214956	0.17446308050862633
Goto	0.0	0.0
P-score	0.3815439219165927	0.31333333333333335
Correct Metric Level Continuous	0.005323868677905945	0.02666666666666667
Correct Metric Level Total	0.07453416149068323	0.10666666666666667
Any Metric Level Continuous	0.04277456647398844	0.046948356807511735
Any Metric Level Total	0.18959537572254334	0.13145539906103287
Information gain	0.10549471813392962	0.07370993452929865
