Chopin/Etudes_op_25/11/Shychko03M.wav
F-measure	0.5432525951557093	0.5199999999999999
Cemgil	0.5084212720539767	0.5032330811207575
Cemgil Best Metric Level	0.7154370953785955	0.6434169327489756
Goto	0.0	0.0
P-score	0.449468085106383	0.46808510638297873
Correct Metric Level Continuous	0.013297872340425532	0.0851063829787234
Correct Metric Level Total	0.013297872340425532	0.0851063829787234
Any Metric Level Continuous	0.32673267326732675	0.30357142857142855
Any Metric Level Total	0.7772277227722773	0.5892857142857143
Information gain	0.27230817587433753	0.4367471291752304
