Chopin/Ballades/1/Richardson13M.wav
F-measure	0.41310541310541316	0.28705882352941176
Cemgil	0.3841339486557289	0.26432278119874175
Cemgil Best Metric Level	0.3841339486557289	0.26432278119874175
Goto	0.0	0.0
P-score	0.4423841059602649	0.31800766283524906
Correct Metric Level Continuous	0.022516556291390728	0.011494252873563218
Correct Metric Level Total	0.10198675496688742	0.06513409961685823
Any Metric Level Continuous	0.02913907284768212	0.0975609756097561
Any Metric Level Total	0.10198675496688742	0.12804878048780488
Information gain	0.11860292810386672	0.14464308169565043
