Chopin/Ballades/2/Denisova17M.wav
F-measure	0.6450839328537171	0.2838709677419355
Cemgil	0.5989566469051241	0.257534389054486
Cemgil Best Metric Level	0.5989566469051241	0.257534389054486
Goto	0.0	0.0
P-score	0.6883720930232559	0.26
Correct Metric Level Continuous	0.1186046511627907	0.005
Correct Metric Level Total	0.6069767441860465	0.005
Any Metric Level Continuous	0.1186046511627907	0.11818181818181818
Any Metric Level Total	0.6069767441860465	0.3090909090909091
Information gain	0.28855889418252917	0.19528895048719055
