Chopin/Ballades/2/Gasanov08M.wav
F-measure	0.44419642857142855	0.20987654320987656
Cemgil	0.3975508292303916	0.18052277953741777
Cemgil Best Metric Level	0.3975508292303916	0.18052277953741777
Goto	0.0	0.0
P-score	0.45934959349593496	0.225
Correct Metric Level Continuous	0.07723577235772358	0.005
Correct Metric Level Total	0.21341463414634146	0.02
Any Metric Level Continuous	0.07723577235772358	0.08064516129032258
Any Metric Level Total	0.21341463414634146	0.1774193548387097
Information gain	0.17678679704327083	0.10212546659125392
