Bach/Prelude/bwv_854/Richardson01M.wav
F-measure	0.38596491228070173	0.03571428571428571
Cemgil	0.3785003820601824	0.033885589770404526
Cemgil Best Metric Level	0.3785003820601824	0.140823911868813
Goto	0.0	0.0
P-score	0.32857142857142857	0.5
Correct Metric Level Continuous	0.0	0.0
Correct Metric Level Total	0.0	0.0
Any Metric Level Continuous	0.011428571428571429	0.046511627906976744
Any Metric Level Total	0.017142857142857144	0.046511627906976744
Information gain	0.40713346495959546	0.31378027060884306
