Liszt/Transcendental_Etudes/5/Wang06M.wav
F-measure	0.4493150684931507	0.17959183673469387
Cemgil	0.4228744267850435	0.16508744393678046
Cemgil Best Metric Level	0.5833092880041102	0.16508744393678046
Goto	0.0	0.0
P-score	0.4364406779661017	0.25
Correct Metric Level Continuous	0.036016949152542374	0.1015625
Correct Metric Level Total	0.048728813559322036	0.15625
Any Metric Level Continuous	0.16893203883495145	0.1015625
Any Metric Level Total	0.5223300970873787	0.15625
Information gain	0.18837354920455257	0.19031213551451356
