Beethoven/Piano_Sonatas/21-1_no_repeat/Song03M.wav
F-measure	0.9090157154673283	0.8325041459369817
Cemgil	0.8727856085211823	0.78503419374237
Cemgil Best Metric Level	0.8727856085211823	0.78503419374237
Goto	0.0	1.0
P-score	0.9100572363041701	0.881578947368421
Correct Metric Level Continuous	0.11283728536385937	0.29276315789473684
Correct Metric Level Total	0.8560915780866721	0.8355263157894737
Any Metric Level Continuous	0.11283728536385937	0.29276315789473684
Any Metric Level Total	0.8560915780866721	0.8355263157894737
Information gain	0.4597527069503571	0.6350462442089553
