Beethoven/Piano_Sonatas/18-1/ChenGuang03M.wav
F-measure	0.7262059973924381	0.22802850356294535
Cemgil	0.6939982359144998	0.2058717847114978
Cemgil Best Metric Level	0.6939982359144998	0.2058717847114978
Goto	0.0	0.0
P-score	0.7308673469387755	0.304
Correct Metric Level Continuous	0.11224489795918367	0.008
Correct Metric Level Total	0.6683673469387755	0.02
Any Metric Level Continuous	0.11224489795918367	0.023391812865497075
Any Metric Level Total	0.6683673469387755	0.03508771929824561
Information gain	0.3371390710659811	0.1787721289716062
