Bach/Prelude/bwv_848/Lin04M.wav
F-measure	0.6696832579185521	0.6351351351351351
Cemgil	0.64988570068849	0.6197841449615997
Cemgil Best Metric Level	0.9586575519142012	0.9265459944880481
Goto	0.0	0.0
P-score	0.5034246575342466	0.47959183673469385
Correct Metric Level Continuous	0.00684931506849315	0.0
Correct Metric Level Total	0.00684931506849315	0.0
Any Metric Level Continuous	0.9666666666666667	0.96
Any Metric Level Total	0.9666666666666667	0.96
Information gain	0.4708292984638856	0.6671564641284757
