Chopin/Etudes_op_10/5/ZhangW03M.wav
F-measure	0.7267441860465117	0.4878048780487806
Cemgil	0.6723774204635842	0.44812965338156424
Cemgil Best Metric Level	0.6723774204635842	0.5865007294202313
Goto	0.0	0.0
P-score	0.7445652173913043	0.4125
Correct Metric Level Continuous	0.16847826086956522	0.025
Correct Metric Level Total	0.6467391304347826	0.05
Any Metric Level Continuous	0.16847826086956522	0.32558139534883723
Any Metric Level Total	0.6467391304347826	0.6976744186046512
Information gain	0.30699334804083417	0.3884913589107209
