Bach/Prelude/bwv_865/Rizikov01M.wav
F-measure	0.3756345177664975	0.40625000000000006
Cemgil	0.3718586161199543	0.39339120935245847
Cemgil Best Metric Level	0.3718586161199543	0.4936673999717126
Goto	0.0	0.0
P-score	0.32231404958677684	0.34210526315789475
Correct Metric Level Continuous	0.0	0.0
Correct Metric Level Total	0.0	0.0
Any Metric Level Continuous	0.013245033112582781	0.0196078431372549
Any Metric Level Total	0.013245033112582781	0.0196078431372549
Information gain	0.39807058930735395	0.5638557977264506
